Title,Category,Methods,Abstract
Assessing the utility of natural language processing for detecting postoperative complications from free medical text,text mining,None,"BACKGROUND: Postoperative complication rates are often assessed through administrative data, although this method has proven to be imprecise. Recently, new developments in natural language processing have shown promise in detecting specific phenotypes from free medical text. Using the clinical challenge of extracting four specific and frequently undercoded postoperative complications (pneumonia, urinary tract infection, sepsis, and septic shock), it was hypothesized that natural language processing would capture postoperative complications on a par with human-level curation from electronic health record free medical text.
METHODS: Electronic health record data were extracted for surgical cases (across 11 surgical sub-specialties) from 18 hospitals in the Capital and Zealand regions of Denmark that were performed between May 2016 and November 2021. The data set was split into training/validation/test sets (30.0%/48.0%/22.0%). Model performance was compared with administrative data and manual extraction of the test data set.
RESULTS: Data were obtained for 17 486 surgical cases. Natural language processing achieved a receiver operating characteristic area under the curve of 0.989 for urinary tract infection, 0.993 for pneumonia, 0.992 for sepsis, and 0.998 for septic shock, whereas administrative data achieved a receiver operating characteristic area under the curve of 0.595 for urinary tract infection, 0.624 for pneumonia, 0.571 for sepsis, and 0.625 for septic shock.
CONCLUSION: The natural language processing approach was able to capture complications with acceptable performance, which was superior to administrative data. In addition, the model performance approached that of manual curation and thereby offers a potential pathway for complete real-time coverage of postoperative complications across surgical procedures based on natural language processing assessment of electronic health record free medical text."
Predicting Depression Risk in Patients With Cancer Using Multimodal Data: Algorithm Development Study,text mining,machine learning model,"BACKGROUND: Patients with cancer starting systemic treatment programs, such as chemotherapy, often develop depression. A prediction model may assist physicians and health care workers in the early identification of these vulnerable patients.
OBJECTIVE: This study aimed to develop a prediction model for depression risk within the first month of cancer treatment.
METHODS: We included 16,159 patients diagnosed with cancer starting chemo- or radiotherapy treatment between 2008 and 2021. Machine learning models (eg, least absolute shrinkage and selection operator [LASSO] logistic regression) and natural language processing models (Bidirectional Encoder Representations from Transformers [BERT]) were used to develop multimodal prediction models using both electronic health record data and unstructured text (patient emails and clinician notes). Model performance was assessed in an independent test set (n=5387, 33%) using area under the receiver operating characteristic curve (AUROC), calibration curves, and decision curve analysis to assess initial clinical impact use.
RESULTS: Among 16,159 patients, 437 (2.7%) received a depression diagnosis within the first month of treatment. The LASSO logistic regression models based on the structured data (AUROC 0.74, 95% CI 0.71-0.78) and structured data with email classification scores (AUROC 0.74, 95% CI 0.71-0.78) had the best discriminative performance. The BERT models based on clinician notes and structured data with email classification scores had AUROCs around 0.71. The logistic regression model based on email classification scores alone performed poorly (AUROC 0.54, 95% CI 0.52-0.56), and the model based solely on clinician notes had the worst performance (AUROC 0.50, 95% CI 0.49-0.52). Calibration was good for the logistic regression models, whereas the BERT models produced overly extreme risk estimates even after recalibration. There was a small range of decision thresholds for which the best-performing model showed promising clinical effectiveness use. The risks were underestimated for female and Black patients.
CONCLUSIONS: The results demonstrated the potential and limitations of machine learning and multimodal models for predicting depression risk in patients with cancer. Future research is needed to further validate these models, refine the outcome label and predictors related to mental health, and address biases across subgroups."
Multimodal fine-tuning of clinical language models for predicting COVID-19 outcomes,other,None,"Clinical prediction models tend only to incorporate structured healthcare data, ignoring information recorded in other data modalities, including free-text clinical notes. Here, we demonstrate how multimodal models that effectively leverage both structured and unstructured data can be developed for predicting COVID-19 outcomes. The models are trained end-to-end using a technique we refer to as multimodal fine-tuning, whereby a pre-trained language model is updated based on both structured and unstructured data. The multimodal models are trained and evaluated using a multicenter cohort of COVID-19 patients encompassing all encounters at the emergency department of six hospitals. Experimental results show that multimodal models, leveraging the notion of multimodal fine-tuning and trained to predict (i) 30-day mortality, (ii) safe discharge and (iii) readmission, outperform unimodal models trained using only structured or unstructured healthcare data on all three outcomes. Sensitivity analyses are performed to better understand how well the multimodal models perform on different patient groups, while an ablation study is conducted to investigate the impact of different types of clinical notes on model performance. We argue that multimodal models that make effective use of routinely collected healthcare data to predict COVID-19 outcomes may facilitate patient management and contribute to the effective use of limited healthcare resources."
Finding Asymptomatic Spreaders in a COVID-19 Transmission Network by Graph Attention Networks,text mining,None,"In the COVID-19 epidemic the mildly symptomatic and asymptomatic infections generate a substantial portion of virus spread; these undetected individuals make it difficult to assess the effectiveness of preventive measures as most epidemic prevention strategies are based on the detected data. Effectively identifying the undetected infections in local transmission will be of great help in COVID-19 control. In this work, we propose an RNA virus transmission network representation model based on graph attention networks (RVTR); this model is constructed using the principle of natural language processing to learn the information of gene sequence and using a graph attention network to catch the topological character of COVID-19 transmission networks. Since SARS-CoV-2 will mutate when it spreads, our approach makes use of graph context loss function, which can reflect that the genetic sequence of infections with close spreading relation will be more similar than those with a long distance, to train our model. Our approach shows its ability to find asymptomatic spreaders both on simulated and real COVID-19 datasets and performs better when compared with other network representation and feature extraction methods."
Automated model versus treating physician for predicting survival time of patients with metastatic cancer,other,machine learning model,"OBJECTIVE: Being able to predict a patient's life expectancy can help doctors and patients prioritize treatments and supportive care. For predicting life expectancy, physicians have been shown to outperform traditional models that use only a few predictor variables. It is possible that a machine learning model that uses many predictor variables and diverse data sources from the electronic medical record can improve on physicians' performance. For patients with metastatic cancer, we compared accuracy of life expectancy predictions by the treating physician, a machine learning model, and a traditional model.
MATERIALS AND METHODS: A machine learning model was trained using 14 600 metastatic cancer patients' data to predict each patient's distribution of survival time. Data sources included note text, laboratory values, and vital signs. From 2015-2016, 899 patients receiving radiotherapy for metastatic cancer were enrolled in a study in which their radiation oncologist estimated life expectancy. Survival predictions were also made by the machine learning model and a traditional model using only performance status. Performance was assessed with area under the curve for 1-year survival and calibration plots.
RESULTS: The radiotherapy study included 1190 treatment courses in 899 patients. A total of 879 treatment courses in 685 patients were included in this analysis. Median overall survival was 11.7 months. Physicians, machine learning model, and traditional model had area under the curve for 1-year survival of 0.72 (95% CI 0.63-0.81), 0.77 (0.73-0.81), and 0.68 (0.65-0.71), respectively.
CONCLUSIONS: The machine learning model's predictions were more accurate than those of the treating physician or a traditional model."
Self-Supervised Contextual Language Representation of Radiology Reports to Improve the Identification of Communication Urgency,text mining,None,"Machine learning methods have recently achieved high-performance in biomedical text analysis. However, a major bottleneck in the widespread application of these methods is obtaining the required large amounts of annotated training data, which is resource intensive and time consuming. Recent progress in self-supervised learning has shown promise in leveraging large text corpora without explicit annotations. In this work, we built a self-supervised contextual language representation model using BERT, a deep bidirectional transformer architecture, to identify radiology reports requiring prompt communication to the referring physicians. We pre-trained the BERT model on a large unlabeled corpus of radiology reports and used the resulting contextual representations in a final text classifier for communication urgency. Our model achieved a precision of 97.0%, recall of 93.3%, and F-measure of 95.1% on an independent test set in identifying radiology reports for prompt communication, and significantly outperformed the previous state-of-the-art model based on word2vec representations."
Natural Language Processing for Surveillance of Cervical and Anal Cancer and Precancer: Algorithm Development and Split-Validation Study,text mining,None,"BACKGROUND: Accurate identification of new diagnoses of human papillomavirus-associated cancers and precancers is an important step toward the development of strategies that optimize the use of human papillomavirus vaccines. The diagnosis of human papillomavirus cancers hinges on a histopathologic report, which is typically stored in electronic medical records as free-form, or unstructured, narrative text. Previous efforts to perform surveillance for human papillomavirus cancers have relied on the manual review of pathology reports to extract diagnostic information, a process that is both labor- and resource-intensive. Natural language processing can be used to automate the structuring and extraction of clinical data from unstructured narrative text in medical records and may provide a practical and effective method for identifying patients with vaccine-preventable human papillomavirus disease for surveillance and research.
OBJECTIVE: This study's objective was to develop and assess the accuracy of a natural language processing algorithm for the identification of individuals with cancer or precancer of the cervix and anus.
METHODS: A pipeline-based natural language processing algorithm was developed, which incorporated machine learning and rule-based methods to extract diagnostic elements from the narrative pathology reports. To test the algorithm's classification accuracy, we used a split-validation study design. Full-length cervical and anal pathology reports were randomly selected from 4 clinical pathology laboratories. Two study team members, blinded to the classifications produced by the natural language processing algorithm, manually and independently reviewed all reports and classified them at the document level according to 2 domains (diagnosis and human papillomavirus testing results). Using the manual review as the gold standard, the algorithm's performance was evaluated using standard measurements of accuracy, recall, precision, and F-measure.
RESULTS: The natural language processing algorithm's performance was validated on 949 pathology reports. The algorithm demonstrated accurate identification of abnormal cytology, histology, and positive human papillomavirus tests with accuracies greater than 0.91. Precision was lowest for anal histology reports (0.87, 95% CI 0.59-0.98) and highest for cervical cytology (0.98, 95% CI 0.95-0.99). The natural language processing algorithm missed 2 out of the 15 abnormal anal histology reports, which led to a relatively low recall (0.68, 95% CI 0.43-0.87).
CONCLUSIONS: This study outlines the development and validation of a freely available and easily implementable natural language processing algorithm that can automate the extraction and classification of clinical data from cervical and anal cytology and histology."
Predicting COVID-19 in China Using Hybrid AI Model,text mining,None,"The coronavirus disease 2019 (COVID-19) breaking out in late December 2019 is gradually being controlled in China, but it is still spreading rapidly in many other countries and regions worldwide. It is urgent to conduct prediction research on the development and spread of the epidemic. In this article, a hybrid artificial-intelligence (AI) model is proposed for COVID-19 prediction. First, as traditional epidemic models treat all individuals with coronavirus as having the same infection rate, an improved susceptible-infected (ISI) model is proposed to estimate the variety of the infection rates for analyzing the transmission laws and development trend. Second, considering the effects of prevention and control measures and the increase of the public's prevention awareness, the natural language processing (NLP) module and the long short-term memory (LSTM) network are embedded into the ISI model to build the hybrid AI model for COVID-19 prediction. The experimental results on the epidemic data of several typical provinces and cities in China show that individuals with coronavirus have a higher infection rate within the third to eighth days after they were infected, which is more in line with the actual transmission laws of the epidemic. Moreover, compared with the traditional epidemic models, the proposed hybrid AI model can significantly reduce the errors of the prediction results and obtain the mean absolute percentage errors (MAPEs) with 0.52%, 0.38%, 0.05%, and 0.86% for the next six days in Wuhan, Beijing, Shanghai, and countrywide, respectively."
Artificial intelligence-assisted prediction of preeclampsia: Development and external validation of a nationwide health insurance dataset of the BPJS Kesehatan in Indonesia,text mining,None,"BACKGROUND: We developed and validated an artificial intelligence (AI)-assisted prediction of preeclampsia applied to a nationwide health insurance dataset in Indonesia.
METHODS: The BPJS Kesehatan dataset have been preprocessed using a nested case-control design into preeclampsia/eclampsia (n = 3318) and normotensive pregnant women (n = 19,883) from all women with one pregnancy. The dataset provided 95 features consisting of demographic variables and medical histories started from 24 months to event and ended by delivery as the event. Six algorithms were compared by area under the receiver operating characteristics curve (AUROC) with a subgroup analysis by time to the event. We compared our model to similar prediction models from systematically reviewed studies. In addition, we conducted a text mining analysis based on natural language processing techniques to interpret our modeling results.
FINDINGS: The best model consisted of 17 predictors extracted by a random forest algorithm. Nine∼12 months to the event was the period that had the best AUROC in external validation by either geographical (0.88, 95% confidence interval (CI) 0.88-0.89) or temporal split (0.86, 95% CI 0.85-0.86). We compared this model to prediction models in seven studies from 869 records in PUBMED, EMBASE, and SCOPUS. This model outperformed the previous models in terms of the precision, sensitivity, and specificity in all validation sets.
INTERPRETATION: Our low-cost model improved preliminary prediction to decide pregnant women that will be predicted by the models with high specificity and advanced predictors.
FUNDING: This work was supported by grant no. MOST108-2221-E-038-018 from the Ministry of Science and Technology of Taiwan."
Efficient Reuse of Natural Language Processing Models for Phenotype-Mention Identification in Free-text Electronic Medical Records: A Phenotype Embedding Approach,text mining,None,"BACKGROUND: Much effort has been put into the use of automated approaches, such as natural language processing (NLP), to mine or extract data from free-text medical records in order to construct comprehensive patient profiles for delivering better health care. Reusing NLP models in new settings, however, remains cumbersome, as it requires validation and retraining on new data iteratively to achieve convergent results.
OBJECTIVE: The aim of this work is to minimize the effort involved in reusing NLP models on free-text medical records.
METHODS: We formally define and analyze the model adaptation problem in phenotype-mention identification tasks. We identify ""duplicate waste"" and ""imbalance waste,"" which collectively impede efficient model reuse. We propose a phenotype embedding-based approach to minimize these sources of waste without the need for labelled data from new settings.
RESULTS: We conduct experiments on data from a large mental health registry to reuse NLP models in four phenotype-mention identification tasks. The proposed approach can choose the best model for a new task, identifying up to 76% waste (duplicate waste), that is, phenotype mentions without the need for validation and model retraining and with very good performance (93%-97% accuracy). It can also provide guidance for validating and retraining the selected model for novel language patterns in new tasks, saving around 80% waste (imbalance waste), that is, the effort required in ""blind"" model-adaptation approaches.
CONCLUSIONS: Adapting pretrained NLP models for new tasks can be more efficient and effective if the language pattern landscapes of old settings and new settings can be made explicit and comparable. Our experiments show that the phenotype-mention embedding approach is an effective way to model language patterns for phenotype-mention identification tasks and that its use can guide efficient NLP model reuse."
A clinical text classification paradigm using weak supervision and deep representation,text mining,"neural network, machine learning model, multilayer perceptron, convolutional neural network","BACKGROUND: Automatic clinical text classification is a natural language processing (NLP) technology that unlocks information embedded in clinical narratives. Machine learning approaches have been shown to be effective for clinical text classification tasks. However, a successful machine learning model usually requires extensive human efforts to create labeled training data and conduct feature engineering. In this study, we propose a clinical text classification paradigm using weak supervision and deep representation to reduce these human efforts.
METHODS: We develop a rule-based NLP algorithm to automatically generate labels for the training data, and then use the pre-trained word embeddings as deep representation features for training machine learning models. Since machine learning is trained on labels generated by the automatic NLP algorithm, this training process is called weak supervision. We evaluat the paradigm effectiveness on two institutional case studies at Mayo Clinic: smoking status classification and proximal femur (hip) fracture classification, and one case study using a public dataset: the i2b2 2006 smoking status classification shared task. We test four widely used machine learning models, namely, Support Vector Machine (SVM), Random Forest (RF), Multilayer Perceptron Neural Networks (MLPNN), and Convolutional Neural Networks (CNN), using this paradigm. Precision, recall, and F1 score are used as metrics to evaluate performance.
RESULTS: CNN achieves the best performance in both institutional tasks (F1 score: 0.92 for Mayo Clinic smoking status classification and 0.97 for fracture classification). We show that word embeddings significantly outperform tf-idf and topic modeling features in the paradigm, and that CNN captures additional patterns from the weak supervision compared to the rule-based NLP algorithms. We also observe two drawbacks of the proposed paradigm that CNN is more sensitive to the size of training data, and that the proposed paradigm might not be effective for complex multiclass classification tasks.
CONCLUSION: The proposed clinical text classification paradigm could reduce human efforts of labeled training data creation and feature engineering for applying machine learning to clinical text classification by leveraging weak supervision and deep representation. The experimental experiments have validated the effectiveness of paradigm by two institutional and one shared clinical text classification tasks."
"A Novel Model for Predicting Rehospitalization Risk Incorporating Physical Function, Cognitive Status, and Psychosocial Support Using Natural Language Processing",text mining,None,"BACKGROUND: With the increasing focus on reducing hospital readmissions in the United States, numerous readmissions risk prediction models have been proposed, mostly developed through analyses of structured data fields in electronic medical records and administrative databases. Three areas that may have an impact on readmission but are poorly captured using structured data sources are patients' physical function, cognitive status, and psychosocial environment and support.
OBJECTIVE OF THE STUDY: The objective of the study was to build a discriminative model using information germane to these 3 areas to identify hospitalized patients' risk for 30-day all cause readmissions.
RESEARCH DESIGN: We conducted clinician focus groups to identify language used in the clinical record regarding these 3 areas. We then created a dataset including 30,000 inpatients, 10,000 from each of 3 hospitals, and searched those records for the focus group-derived language using natural language processing. A 30-day readmission prediction model was developed on 75% of the dataset and validated on the other 25% and also on hospital specific subsets.
RESULTS: Focus group language was aggregated into 35 variables. The final model had 16 variables, a validated C-statistic of 0.74, and was well calibrated. Subset validation of the model by hospital yielded C-statistics of 0.70-0.75.
CONCLUSIONS: Deriving a 30-day readmission risk prediction model through identification of physical, cognitive, and psychosocial issues using natural language processing yielded a model that performs similarly to the better performing models previously published with the added advantage of being based on clinically relevant factors and also automated and scalable. Because of the clinical relevance of the variables in the model, future research may be able to test if targeting interventions to identified risks results in reductions in readmissions."
Language Ability Groups in Bilingual Children: A Latent Profile Analysis,text mining,None,"PURPOSE: Classifying children into two language ability groups, with and without language impairment, may underestimate the number of groups with distinct language ability patterns, or, alternatively, there may be only a single group characterized by a continuum of language performance. The purpose of the current study was to identify the number and characteristics of latent (unobservable) language ability groups in an unclassified sample of predominantly Spanish-speaking children.
METHOD: An unclassified sample of 431 predominantly Spanish-speaking 5- to 7-year-olds learning English participated in the study. The groups were identified on the basis of (a) language sample analyses (semantic, grammatical, and sentence-length measures); (b) language processing tasks (phonological working memory and processing speed measures); and (c) nonverbal cognitive abilities assessed using a standardized measure. All tasks were administered in Spanish. Latent profile analysis was used to examine the number and nature of distinct language ability groups in the unclassified sample.
RESULTS: Results indicated that a three-group model best represented the data, characterized by low grammaticality in one group, low phonological working memory in another group, and average skills in a third group.
CONCLUSION: Classifying children into two groups, those with and without language impairment, may lead to misidentification of language impairment."
Models of attention and dual-task performance as explanatory constructs in aphasia,text mining,None,"Aphasia has traditionally been viewed as a loss or impairment of language. However, evidence is presented suggesting that language mechanisms are fundamentally preserved and that aphasic language behaviors are instead due to impairments of cognitive processes supporting their construction. These processes may be understood as a linguistically specialized attentional system that is vulnerable to competition from other processing domains. We present two models of attention that focus on competition for central processing and discuss findings from dual-task studies of normal and aphasic performance. First, competing language and nonlanguage tasks appear to share limited-capacity, parallel processing resources. Second, aphasic individuals demonstrate slowed central processing that could be due to a reduction in processing capacity or ability to allocate that capacity. Third, the attention models discussed bear a coherent relationship to current models of language processing. Clinical implications of a cognitive processing account of aphasia are also considered."
Comparison of the recovery patterns of language and cognitive functions in patients with post-traumatic language processing deficits and in patients with aphasia following a stroke,text mining,None,"UNLABELLED: In this study we investigated the recovery patterns of language and cognitive functions in patients with post-traumatic language processing deficits and in patients with aphasia following a stroke. The correlation of specific language functions and cognitive functions was analyzed in the acute phase and 6 months later. Significant recovery of the tested functions was observed in both groups. However, in patients with post-traumatic language processing deficits the degree of recovery of most language functions and some cognitive functions was higher. A significantly greater correlation was revealed within language and cognitive functions, as well as between language functions and other aspects of cognition in patients with post-traumatic language processing deficits than in patients with aphasia following a stroke. Our results show that patients with post-traumatic language processing deficits have a different recovery pattern and a different pattern of correlation between language and cognitive functions compared to patients with aphasia following a stroke.
LEARNING OUTCOMES: (1) Better understanding of the differences in recovery of language and cognitive functions in patients who have suffered strokes and those who have experienced traumatic brain injury. (2) Better understanding of the relationship between language and cognitive functions in patients with post-traumatic language processing deficits and in patients with aphasia following a stroke. (3) Better understanding of the factors influencing recovery."
Bone lead levels and language processing performance,text mining,None,"The relation between bone lead absorption and language processing abilities in 156 randomly selected 11- to 14-year-old boys who were asymptomatic for lead toxicity is examined. Tibial lead concentrations were measured by X-ray fluorescence spectroscopy. The language processing outcome variables consisted of the least and most difficult subtests from the Nonword Repetition Task, Competing Language Processing Task, and the Revised Token Test. Participants were classified by quartiles according to bone lead concentrations, and analysis of variance and analysis of covariance measured the impact on language processing scores. Results showed that children in the highest bone lead quartile displayed decreased language processing performance on the most difficult language processing tasks but not on the easier tasks."
"On the linguistic representation of medical information: natural language, controlled language, and formal language",other,None,"Language is indispensable for the representation of medical information. We classified the methods of linguistic representation into three items: natural language, controlled language, and formal language. The characteristics of these are discussed; we focus especially on the preparation of data and data quality. We present the perspective that linguistic research in medical informatics can be considered as an effort to convert natural language into formal language and vice versa. The problems related to the conversion and the role of controlled language in medical linguistics are discussed in detail."
A Hybrid CNN-Transformer Model for Predicting N Staging and Survival in Non-Small Cell Lung Cancer Patients Based on CT-Scan,other,"neural network, convolutional neural network","Accurate assessment of N staging in patients with non-small cell lung cancer (NSCLC) is critical for the development of effective treatment plans, the optimization of therapeutic strategies, and the enhancement of patient survival rates. This study proposes a hybrid model based on 3D convolutional neural networks (CNNs) and transformers for predicting the N-staging and survival rates of NSCLC patients within the NSCLC radiogenomics and Nsclc-radiomics datasets. The model achieved accuracies of 0.805, 0.828, and 0.819 for the training, validation, and testing sets, respectively. By leveraging the strengths of CNNs in local feature extraction and the superior performance of transformers in global information modeling, the model significantly enhances predictive accuracy and efficacy. A comparative analysis with traditional CNN and transformer architectures demonstrates that the CNN-transformer hybrid model outperforms N-staging predictions. Furthermore, this study extracts the one-year survival rate as a feature and employs the Lasso-Cox model for survival predictions at various time intervals (1, 3, 5, and 7 years), with all survival prediction p-values being less than 0.05, illustrating the time-dependent nature of survival analysis. The application of time-dependent ROC curves further validates the model's accuracy and reliability for survival predictions. Overall, this research provides innovative methodologies and new insights for the early diagnosis and prognostic evaluation of NSCLC."
A besyian regularisation neural network approach for hepatitis B virus spread prediction and immune system therapy model,other,"neural network, artificial neural network","The primary aim of the article is to analyze the response of the human immune system when it encounters the hepatitis B virus. This is done using a mathematical system of differential equations. The differential equation system has six components, likely representing various aspects of the immune response or virus dynamics. A Bayesian regularization neural network has been presented in the process of training. These networks are employed to find solutions for different categories or scenarios related to hepatitis B infection. The Adams method is used to generate reference data sets. The back-propagated artificial neural network, based on Bayesian regularization, is trained and validated using the generated data. The data is divided into three sets: 90% for training and 5% each for testing and validation. The correctness and effectiveness of the proposed neural network model have been assessed using various evaluation metrics. The metrics have been used in this study are Mean Square Error (MSE), histogram errors, and regression plots. These measures provide support to the neural network to approximate the immune response to the hepatitis B virus."
A comprehensive analysis of the artificial neural networks model for predicting monkeypox outbreaks,other,"neural network, artificial neural network","Monkeypox is a viral disease that causes outbreaks in various countries, significantly impacting public health and healthcare systems. Effective preparedness and response efforts require accurately predicting the severity of these outbreaks. Currently, there are no publicly released studies for nations like Chile and Mexico on monkeypox, leading to this study's creation. We use a neural network model with a time series dataset of monkeypox cases from multiple countries, including Argentina, Brazil, France, Germany, Chile, and Mexico. The Levenberg-Marquardt learning technique is employed to develop and validate single and two hidden layers artificial neural network models. We train various model architectures with different numbers of hidden layer neurons using the K-fold cross-validation early stopping method. Additionally, we use long short-term memory and gated recurrent unit models, commonly employed for time series data processing, to compare the performance of our artificial neural network model."
A multimodal neural network with gradient blending improves predictions of survival and metastasis in sarcoma,other,neural network,"The objective of this study is to develop a multimodal neural network (MMNN) model that analyzes clinical variables and MRI images of a soft tissue sarcoma (STS) patient, to predict overall survival and risk of distant metastases. We compare the performance of this MMNN to models based on clinical variables alone, radiomics models, and an unimodal neural network. We include patients aged 18 or older with biopsy-proven STS who underwent primary resection between January 1st, 2005, and December 31st, 2020 with complete outcome data and a pre-treatment MRI with both a T1 post-contrast sequence and a T2 fat-sat sequence available. A total of 9380 MRI slices containing sarcomas from 287 patients are available. Our MMNN accepts the entire 3D sarcoma volume from T1 and T2 MRIs and clinical variables. Gradient blending allows the clinical and image sub-networks to optimally converge without overfitting. Heat maps were generated to visualize the salient image features. Our MMNN outperformed all other models in predicting overall survival and the risk of distant metastases. The C-Index of our MMNN for overall survival is 0.77 and the C-Index for risk of distant metastases is 0.70. The provided heat maps demonstrate areas of sarcomas deemed most salient for predictions. Our multimodal neural network with gradient blending improves predictions of overall survival and risk of distant metastases in patients with soft tissue sarcoma. Future work enabling accurate subtype-specific predictions will likely utilize similar end-to-end multimodal neural network architecture and require prospective curation of high-quality data, the inclusion of genomic data, and the involvement of multiple centers through federated learning."
Admission blood tests predicting survival of SARS-CoV-2 infected patients: a practical implementation of graph convolution network in imbalance dataset,other,"neural network, machine learning model, convolutional neural network","BACKGROUND: Predicting an individual's risk of death from COVID-19 is essential for planning and optimising resources. However, since the real-world mortality rate is relatively low, particularly in places like Hong Kong, this makes building an accurate prediction model difficult due to the imbalanced nature of the dataset. This study introduces an innovative application of graph convolutional networks (GCNs) to predict COVID-19 patient survival using a highly imbalanced dataset. Unlike traditional models, GCNs leverage structural relationships within the data, enhancing predictive accuracy and robustness. By integrating demographic and laboratory data into a GCN framework, our approach addresses class imbalance and demonstrates significant improvements in prediction accuracy.
METHODS: The cohort included all consecutive positive COVID-19 patients fulfilling study criteria admitted to 42 public hospitals in Hong Kong between January 23 and December 31, 2020 (n = 7,606). We proposed the population-based graph convolutional neural network (GCN) model which took blood test results, age and sex as inputs to predict the survival outcomes. Furthermore, we compared our proposed model to the Cox Proportional Hazard (CPH) model, conventional machine learning models, and oversampling machine learning models. Additionally, a subgroup analysis was performed on the test set in order to acquire a deeper understanding of the relationship between each patient node and its neighbours, revealing possible underlying causes of the inaccurate predictions.
RESULTS: The GCN model was the top-performing model, with an AUC of 0.944, considerably outperforming all other models (p < 0.05), including the oversampled CPH model (0.708), linear regression (0.877), Linear Discriminant Analysis (0.860), K-nearest neighbours (0.834), Gaussian predictor (0.745) and support vector machine (0.847). With Kaplan-Meier estimates, the GCN model demonstrated good discriminability between low- and high-risk individuals (p < 0.0001). Based on subanalysis using the weighted-in score, although the GCN model was able to discriminate well between different predicted groups, the separation was inadequate between false negative (FN) and true negative (TN) groups.
CONCLUSION: The GCN model considerably outperformed all other machine learning methods and baseline CPH models. Thus, when applied to this imbalanced COVID survival dataset, adopting a population graph representation may be an approach to achieving good prediction."
Prediction models for retinopathy of prematurity occurrence based on artificial neural network,other,"neural network, artificial neural network","INTRODUCTION: Early prediction and timely treatment are essential for minimizing the risk of visual loss or blindness of retinopathy of prematurity, emphasizing the importance of ROP screening in clinical routine.
OBJECTIVE: To establish predictive models for ROP occurrence based on the risk factors using artificial neural network.
METHODS: A cohort of 591 infants was recruited in this retrospective study. The association between ROP and perinatal factors was analyzed by univariate analysis and multivariable logistic regression. We developed predictive models for ROP screening using back propagation neural network, which was further optimized by applying genetic algorithm method. To assess the predictive performance of the models, the areas under the curve, sensitivity, specificity, negative predictive value, positive predictive value and accuracy were used to show the performances of the prediction models.
RESULTS: ROP of any stage was found in 193 (32.7%) infants. Twelve risk factors of ROP were selected. Based on these factors, predictive models were built using BP neural network and genetic algorithm-back propagation (GA-BP) neural network. The areas under the curve for prediction models were 0.857, and 0.908 in test, respectively.
CONCLUSIONS: We developed predictive models for ROP using artificial neural network. GA-BP neural network exhibited superior predictive ability for ROP when dealing with its non-linear clinical data."
Predicting lower limb lymphedema after cervical cancer surgery using artificial neural network and decision tree models,other,"neural network, artificial neural network","PURPOSE: This study aimed to develop and validate accessible artificial neural network and decision tree models to predict the risk of lower limb lymphedema after cervical cancer surgery.
METHODS: We selected 759 patients who underwent cervical cancer surgery at the Hunan Cancer Hospital from January 2010 to January 2020, collecting demographic, behavioral, clinicopathological, and disease-related data. The artificial neural network and decision tree techniques were used to construct prediction models for lower limb lymphedema after cervical cancer surgery. Then, the models' predictive efficacies were evaluated to select the optimal model using several methods, such as the area under the receiver operating characteristic curve and accuracy, sensitivity, and specificity tests.
RESULTS: In the training set, the artificial neural network and decision tree model accuracies for predicting lower limb lymphedema after cervical cancer surgery were 99.80% and 88.14%, and the sensitivities 99.50% and 74.01%, respectively; the specificities were 100% and 95.20%, respectively. The area under the receiver operating characteristic curve was 1.00 for the artificial neural network and 0.92 for the decision tree model. In the test set, the artificial neural network and decision tree models' accuracies were 86.70% and 82.02%, and the sensitivities 65.70% and 67.11%, respectively; the specificities were 96.00% and 89.47%, respectively.
CONCLUSION: Both models had good predictive efficacy for lower limb lymphedema after cervical cancer surgery. However, the predictive performance and stability were superior in the artificial neural network model than in the decision tree model."
